Player,Pos,Age,G_19,GS_19,MP_19,3P%_19,FT%_19,ORB_19,AST_19,STL_19,BLK_19,TOV_19,PF_19,G_18,GS_18,3P%_18,ORB_18,AST_18,STL_18,BLK_18,TOV_18,PF_18,G_17,GS_17,3P%_17,ORB_17,AST_17,STL_17,BLK_17,TOV_17,PF_17,GS_16,3P%_16,AST_16,STL_16,BLK_16
Stephen Curry\curryst01,PG,31.0,5.0,5.0,27.8,0.245,1.0,0.8,6.6,1.0,0.4,3.2,2.2,69.0,69.0,0.4370000000000001,0.7,5.2,1.3,0.4,2.8,2.4,51.0,51.0,0.423,0.7,6.1,1.6,0.2,3.0,2.2,79.0,0.411,6.6,1.8,0.2
Russell Westbrook\westbru01,PG,31.0,57.0,57.0,35.9,0.258,0.763,1.8,7.0,1.6,0.4,4.5,3.5,73.0,73.0,0.29,1.5,10.7,1.9,0.5,4.5,3.4,80.0,80.0,0.298,1.9,10.3,1.8,0.3,4.8,2.5,81.0,0.343,10.4,1.6,0.4
Chris Paul\paulch01,PG,34.0,70.0,70.0,31.5,0.365,0.907,0.4,6.7,1.6,0.2,2.3,2.3,58.0,58.0,0.358,0.6,8.2,2.0,0.3,2.6,2.5,58.0,58.0,0.38,0.6,7.9,1.7,0.2,2.2,2.4,61.0,0.411,9.2,2.0,0.1
John Wall\walljo01,PG,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,32.0,0.302,0.5,8.7,1.5,0.9,3.8,2.2,41.0,41.0,0.371,0.5,9.6,1.4,1.1,3.9,2.0,78.0,0.327,10.7,2.0,0.6
James Harden\hardeja01,SG,30.0,68.0,68.0,36.5,0.355,0.865,1.0,7.5,1.8,0.9,4.5,3.3,78.0,78.0,0.368,0.8,7.5,2.0,0.7,5.0,3.1,72.0,72.0,0.3670000000000001,0.6,8.8,1.8,0.7,4.4,2.3,81.0,0.34700000000000003,11.2,1.5,0.5
LeBron James\jamesle01,PG,35.0,67.0,67.0,34.6,0.348,0.693,1.0,10.2,1.2,0.5,3.9,1.8,55.0,55.0,0.339,1.0,8.3,1.3,0.6,3.6,1.7,82.0,82.0,0.3670000000000001,1.2,9.1,1.4,0.9,4.2,1.7,74.0,0.363,8.7,1.2,0.6
Kevin Durant\duranke01,SF,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,78.0,0.353,0.4,5.9,0.7,1.1,2.9,2.0,68.0,68.0,0.419,0.5,5.4,0.7,1.8,3.0,2.0,62.0,0.375,4.8,1.1,1.6
Blake Griffin\griffbl01,PF,30.0,18.0,18.0,28.4,0.243,0.7759999999999999,0.9,3.3,0.4,0.4,2.2,1.5,75.0,75.0,0.362,1.3,5.4,0.7,0.4,3.4,2.7,58.0,58.0,0.345,1.3,5.8,0.7,0.3,2.8,2.4,61.0,0.336,4.9,0.9,0.4
Paul George\georgpa01,SG,29.0,48.0,48.0,29.6,0.412,0.8759999999999999,0.5,3.9,1.4,0.4,2.6,2.4,77.0,77.0,0.386,1.4,4.1,2.2,0.4,2.7,2.8,79.0,79.0,0.401,0.9,3.3,2.0,0.5,2.7,2.9,75.0,0.393,3.3,1.6,0.4
Klay Thompson\thompkl01,SG,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,78.0,0.402,0.5,2.4,1.1,0.6,1.5,2.0,73.0,73.0,0.44,0.4,2.5,0.8,0.5,1.8,1.6,78.0,0.414,2.1,0.8,0.5
Mike Conley\conlemi01,PG,32.0,47.0,41.0,29.0,0.375,0.8270000000000001,0.7,4.4,0.8,0.1,2.0,2.2,70.0,70.0,0.364,0.6,6.4,1.3,0.3,1.9,1.8,12.0,12.0,0.312,0.0,4.1,1.0,0.3,1.5,2.0,68.0,0.408,6.3,1.3,0.3
Jimmy Butler\butleji01,SF,30.0,58.0,58.0,33.8,0.244,0.8340000000000001,1.8,6.0,1.8,0.6,2.2,1.4,65.0,65.0,0.34700000000000003,1.9,4.0,1.9,0.6,1.5,1.7,59.0,59.0,0.35,1.3,4.9,2.0,0.4,1.8,1.3,75.0,0.3670000000000001,5.5,1.9,0.4
Kemba Walker\walkeke02,PG,29.0,56.0,56.0,31.1,0.381,0.8640000000000001,0.6,4.8,0.9,0.5,2.1,1.6,82.0,82.0,0.35600000000000004,0.6,5.9,1.2,0.4,2.6,1.6,80.0,80.0,0.384,0.4,5.6,1.1,0.3,2.2,1.2,79.0,0.399,5.5,1.1,0.3
Kawhi Leonard\leonaka01,SF,28.0,57.0,57.0,32.4,0.378,0.8859999999999999,0.9,4.9,1.8,0.6,2.6,2.0,60.0,60.0,0.371,1.3,3.3,1.8,0.4,2.0,1.5,9.0,9.0,0.314,0.7,2.3,2.0,1.0,1.8,1.0,74.0,0.38,3.5,1.8,0.7
Tobias Harris\harrito02,PF,27.0,72.0,72.0,34.3,0.3670000000000001,0.8059999999999999,1.0,3.2,0.7,0.6,1.4,2.3,82.0,82.0,0.397,0.8,2.8,0.6,0.5,1.8,2.2,80.0,80.0,0.411,0.7,2.4,0.9,0.4,1.3,2.1,48.0,0.34700000000000003,1.7,0.7,0.5
Kyrie Irving\irvinky01,PG,27.0,20.0,20.0,32.9,0.394,0.922,1.1,6.4,1.4,0.5,2.6,2.7,67.0,67.0,0.401,1.1,6.9,1.5,0.5,2.6,2.5,60.0,60.0,0.408,0.6,5.1,1.1,0.3,2.3,2.0,72.0,0.401,5.8,1.2,0.3
Khris Middleton\middlkh01,SF,28.0,62.0,59.0,29.9,0.415,0.916,0.7,4.3,0.9,0.1,2.2,2.3,77.0,77.0,0.378,0.6,4.3,1.0,0.1,2.3,2.2,82.0,82.0,0.359,0.5,4.0,1.5,0.3,2.3,3.3,23.0,0.433,3.4,1.4,0.2
Anthony Davis\davisan02,PF,26.0,62.0,62.0,34.4,0.33,0.846,2.3,3.2,1.5,2.3,2.5,2.5,56.0,56.0,0.331,3.1,3.9,1.6,2.4,2.0,2.4,75.0,75.0,0.34,2.5,2.3,1.5,2.6,2.2,2.1,75.0,0.299,2.1,1.3,2.2
Damian Lillard\lillada01,PG,29.0,66.0,66.0,37.5,0.401,0.888,0.5,8.0,1.1,0.3,2.9,1.7,80.0,80.0,0.369,0.9,6.9,1.1,0.4,2.7,1.9,73.0,73.0,0.361,0.8,6.6,1.1,0.4,2.8,1.6,75.0,0.37,5.9,0.9,0.3
Kevin Love\loveke01,PF,31.0,56.0,56.0,31.8,0.374,0.8540000000000001,1.0,3.2,0.6,0.3,2.5,1.6,22.0,21.0,0.361,1.5,2.2,0.3,0.2,1.9,2.5,59.0,59.0,0.415,1.7,1.7,0.7,0.4,1.5,2.0,60.0,0.373,1.9,0.9,0.4
Kyle Lowry\lowryky01,PG,33.0,58.0,58.0,36.2,0.35200000000000004,0.857,0.6,7.5,1.4,0.4,3.1,3.3,65.0,65.0,0.34700000000000003,0.6,8.7,1.4,0.5,2.8,2.6,78.0,78.0,0.399,0.8,6.9,1.1,0.2,2.3,2.5,60.0,0.412,7.0,1.5,0.3
Joel Embiid\embiijo01,C,25.0,51.0,51.0,29.5,0.331,0.807,2.8,3.0,0.9,1.3,3.1,3.4,64.0,64.0,0.3,2.5,3.7,0.7,1.9,3.5,3.3,63.0,63.0,0.308,2.3,3.2,0.6,1.8,3.7,3.3,31.0,0.3670000000000001,2.1,0.9,2.5
Andrew Wiggins\wiggian01,SF,24.0,54.0,54.0,34.4,0.332,0.7090000000000001,1.2,3.7,0.8,1.0,2.4,2.4,73.0,73.0,0.339,1.1,2.5,1.0,0.7,1.9,2.1,82.0,82.0,0.331,1.0,2.0,1.1,0.6,1.7,2.0,82.0,0.35600000000000004,2.3,1.0,0.4
Kristaps Porziņģis\porzikr01,C,24.0,57.0,57.0,31.8,0.35200000000000004,0.799,1.8,1.8,0.7,2.0,1.6,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,48.0,0.395,1.3,1.2,0.8,2.4,1.9,2.9,0.0,0.0,0.0,0.0,0.0
Devin Booker\bookede01,SG,23.0,70.0,70.0,35.9,0.354,0.919,0.4,6.5,0.7,0.3,3.8,3.0,64.0,64.0,0.326,0.6,6.8,0.9,0.2,4.1,3.1,54.0,54.0,0.383,0.5,4.7,0.9,0.3,3.6,3.1,78.0,0.363,3.4,0.9,0.3
