Player,Salary,Pos,Age,G_19,GS_19,MP_19,FG_19,FGA_19,FG%_19,3P_19,3PA_19,3P%_19,2P_19,2PA_19,2P%_19,eFG%_19,FT_19,FTA_19,FT%_19,ORB_19,DRB_19,TRB_19,AST_19,STL_19,BLK_19,TOV_19,PF_19,PTS_19
Aaron Gordon\gordoaa01,18136364,PF,24.0,62.0,62.0,32.5,5.4,12.4,0.43700000000000006,1.2,3.8,0.308,4.2,8.5,0.494,0.484,2.4,3.6,0.674,1.7,5.9,7.7,3.7,0.8,0.6,1.6,2.0,14.4
Aaron Holiday\holidaa01,2345640,PG,23.0,66.0,33.0,24.5,3.5,8.5,0.414,1.3,3.3,0.39399999999999996,2.2,5.2,0.42700000000000005,0.491,1.1,1.3,0.851,0.3,2.0,2.4,3.4,0.8,0.2,1.3,1.8,9.5
Abdel Nader\naderab01,1752950,SF,26.0,55.0,6.0,15.8,2.2,4.8,0.46799999999999997,0.9,2.3,0.375,1.4,2.5,0.556,0.5589999999999999,0.9,1.2,0.773,0.3,1.6,1.8,0.7,0.4,0.4,0.8,1.4,6.3
Admiral Schofield\schofad01,1517981,PF,22.0,33.0,2.0,11.2,1.1,2.8,0.38,0.6,1.8,0.311,0.5,0.9,0.516,0.484,0.3,0.5,0.667,0.2,1.2,1.4,0.5,0.2,0.1,0.2,1.5,3.0
Al Horford\horfoal01,27500000,C,33.0,67.0,61.0,30.2,4.8,10.6,0.45,1.5,4.2,0.35,3.3,6.4,0.516,0.52,0.9,1.2,0.763,1.5,5.3,6.8,4.0,0.8,0.9,1.2,2.1,11.9
Al-Farouq Aminu\aminual01,9720900,PF,29.0,18.0,2.0,21.1,1.4,4.8,0.29100000000000004,0.5,2.0,0.25,0.9,2.8,0.32,0.34299999999999997,1.1,1.6,0.655,1.3,3.5,4.8,1.2,1.0,0.4,0.9,1.5,4.3
Alec Burks\burksal01,6000000,SF-SG,28.0,66.0,19.0,26.6,4.9,11.6,0.418,1.8,4.6,0.385,3.1,7.1,0.439,0.493,3.6,4.0,0.887,0.7,3.5,4.3,2.9,0.9,0.3,1.4,1.9,15.0
Alen Smailagić\smailal01,1517981,C,19.0,14.0,0.0,9.9,1.4,2.9,0.5,0.2,0.9,0.231,1.2,1.9,0.63,0.5379999999999999,1.1,1.4,0.8420000000000001,0.7,1.2,1.9,0.9,0.2,0.3,0.8,1.0,4.2
Alex Caruso\carusal01,2750000,PG,25.0,64.0,2.0,18.4,1.9,4.5,0.41200000000000003,0.6,1.9,0.33299999999999996,1.3,2.7,0.46799999999999997,0.48100000000000004,1.1,1.5,0.7340000000000001,0.3,1.7,1.9,1.9,1.1,0.3,0.8,1.5,5.5
Alex Len\lenal01,2320000,C,26.0,55.0,12.0,17.6,3.2,5.8,0.555,0.3,1.1,0.271,2.9,4.7,0.619,0.58,1.2,1.9,0.648,1.8,4.0,5.8,0.9,0.4,0.9,1.0,2.3,8.0
Alfonzo McKinnie\mckinal01,1762796,SF,27.0,40.0,1.0,14.8,1.8,4.3,0.42700000000000005,0.4,1.6,0.215,1.5,2.7,0.557,0.46799999999999997,0.6,0.8,0.71,0.9,1.9,2.8,0.4,0.6,0.2,0.7,1.8,4.6
Andre Drummond\drumman01,28751775,C,26.0,57.0,56.0,33.0,7.3,13.8,0.5329999999999999,0.1,0.6,0.14300000000000002,7.2,13.1,0.551,0.536,3.0,5.2,0.575,4.4,10.8,15.2,2.7,1.9,1.6,3.6,3.5,17.7
Andre Iguodala\iguodan01,15000000,SF,36.0,21.0,0.0,19.9,1.8,4.2,0.43200000000000005,0.7,2.2,0.298,1.1,2.0,0.585,0.511,0.3,0.7,0.4,0.8,2.9,3.7,2.4,0.7,1.0,1.2,1.7,4.6
Andrew Wiggins\wiggian01,29542010,SF,24.0,54.0,54.0,34.4,8.1,18.1,0.447,2.1,6.2,0.332,6.0,11.9,0.506,0.504,3.5,5.0,0.7090000000000001,1.2,3.9,5.1,3.7,0.8,1.0,2.4,2.4,21.8
